L,phi,psi,omega,d,theta,rg,re,R
10,-180.0,-63.0,180,-2.98226777255,80.0041019461,140.189286624,23.6488245427,0.162411581231
10,-180.0,-62.0,180,-2.96216461115,79.2762972325,137.588318788,23.4191375832,0.163786286598
10,-180.0,-61.0,180,-2.94148717444,78.5534850553,134.962893273,23.1840207518,0.165160991965
10,-180.0,-60.0,180,-2.9202183908,77.8358081163,132.31422621,22.9434411599,0.166732122397
10,-180.0,-59.0,180,-2.89834078015,77.123413348,129.643622626,22.6973762145,0.168106827764
10,-180.0,-58.0,180,-2.87583646039,76.4164520122,126.952456077,22.4458129708,0.169481533131
10,-180.0,-57.0,180,-2.85268715626,75.715079798,124.242187408,22.1887487519,0.170856238498
10,-180.0,-56.0,180,-2.82887421049,75.0194569165,121.514344045,21.9261899188,0.172230943865
10,-180.0,-55.0,180,-2.80437859783,74.3297481923,118.770527865,21.6581523314,0.173605649233
10,-180.0,-54.0,180,-2.77918094199,73.6461231526,116.012415745,21.3846608208,0.1749803546
10,-180.0,-53.0,180,-2.75326153593,72.9687561097,113.241739928,21.1057480673,0.176355059967
10,-180.0,-52.0,180,-2.72660036565,72.2978262396,110.460302573,20.8214550505,0.177729726752
10,-180.0,-51.0,180,-2.69917713792,71.633517654,107.669971823,20.531830794,0.179104432119
10,-180.0,-50.0,180,-2.67097131215,70.9760194646,104.872669187,20.2369305058,0.180479137486
10,-180.0,-49.0,180,-2.64196213687,70.3255258395,102.070374074,19.936816159,0.181853842853
10,-180.0,-48.0,180,-2.61212869093,69.6822360496,99.2651204464,19.6315555572,0.18322854822
10,-180.0,-47.0,180,-2.58144993008,69.0463545048,96.4589955337,19.3212222924,0.184603253588
10,-180.0,-46.0,180,-2.5499047389,68.418090778,93.6541390743,19.0058946494,0.186174384019
10,-180.0,-45.0,180,-2.51747198876,67.7976596152,90.8527394938,18.6856557746,0.187549089386
10,-180.0,-44.0,180,-2.48413060188,67.1852809313,88.0570320462,18.3605923936,0.188923794753
10,-180.0,-43.0,180,-2.44985962196,66.5811797891,85.2692979528,18.0307953221,0.19029850012
10,-180.0,-42.0,180,-2.41463829161,65.9855863601,82.4918644778,17.6963581117,0.191673205488
10,-180.0,-41.0,180,-2.37844613688,65.3987358657,79.7271060204,17.3573784795,0.193047910855
10,-180.0,-40.0,180,-2.34126305903,64.8208684967,76.9774372555,17.0139563068,0.194422616222
10,-180.0,-39.0,180,-2.30306943391,64.2522293094,74.2453135646,16.6661940421,0.195797321589
10,-180.0,-38.0,180,-2.26384621886,63.6930680963,71.5332325426,16.3141967377,0.197171988374
10,-180.0,-37.0,180,-2.22357506739,63.1436392301,68.8437321496,15.9580725916,0.198546693741
10,-180.0,-36.0,180,-2.18223845145,62.6042014783,66.1793914498,15.5979325775,0.199921399108
10,-180.0,-35.0,180,-2.13981979133,62.0750177869,63.5428215904,15.2338905055,0.201296104475
10,-180.0,-34.0,180,-2.0963035929,61.556355032,60.9366694447,14.8660629092,0.202670809843
10,-180.0,-33.0,180,-2.05167559191,61.0484837356,58.3636203404,14.4945712211,0.20404551521
10,-180.0,-32.0,180,-2.00592290482,60.5516777471,55.8263909871,14.1195414465,0.205616645641
10,-180.0,-31.0,180,-1.95903418565,60.0662138853,53.3277196354,13.7411034183,0.206991351008
10,-180.0,-30.0,180,-1.91099978809,59.5923715427,50.8703746548,13.3593937576,0.208366056375
10,-180.0,-29.0,180,-1.8618119318,59.1304322488,48.4571468269,12.9745567618,0.209740761743
10,-180.0,-28.0,180,-1.81146487209,58.6806791924,46.0908519642,12.5867456269,0.21111546711
10,-180.0,-27.0,180,-1.75995507146,58.2433967023,43.7743060622,12.1961221334,0.212490172477
10,-180.0,-26.0,180,-1.70728137157,57.8188696858,41.5103448919,11.8028615789,0.213864877844
10,-180.0,-25.0,180,-1.6534451642,57.407383025,39.3018051273,11.4071533036,0.215239583212
10,-180.0,-24.0,180,-1.5984505591,57.0092209318,37.1515182105,11.0092031363,0.216614249996
10,-180.0,-23.0,180,-1.54230454694,56.6246662624,35.0623104007,10.6092382694,0.217988955363
10,-180.0,-22.0,180,-1.48501715506,56.2539997924,33.0369917003,10.2075101202,0.21936366073
10,-180.0,-21.0,180,-1.42660159388,55.8974994554,31.0783419436,9.80429855246,0.220738366098
10,-180.0,-20.0,180,-1.36707439138,55.5554395465,29.189119308,9.39992068307,0.222113071465
10,-180.0,-19.0,180,-1.30645551337,55.228089895,27.3720352018,8.99473556673,0.223487776832
10,-180.0,-18.0,180,-1.2447684668,54.9157150099,25.6297539237,8.58915596032,0.225058907263
10,-180.0,-17.0,180,-1.18204038378,54.6185732015,23.9648795645,8.18365883385,0.22643361263
10,-180.0,-16.0,180,-1.11830208376,54.3369156861,22.3799525276,7.77880342191,0.227808317998
10,-180.0,-15.0,180,-1.05358811149,54.070985678,20.8774293828,7.37524935199,0.229183023365
10,-180.0,-14.0,180,-0.987936748581,53.8210174747,19.4596876794,6.97378604525,0.230557728732
10,-180.0,-13.0,180,-0.921389996789,53.5872355441,18.129001155,6.57536576818,0.231932434099
10,-180.0,-12.0,180,-0.853993531195,53.3698536182,16.887542795,6.18115390878,0.233307139467
10,-180.0,-11.0,180,-0.785796622104,53.1690738026,15.7373653951,5.79258892929,0.234681844834
10,-180.0,-10.0,180,-0.716852024663,52.9850857091,14.6803997498,5.4114697481,0.236056550201
10,-180.0,-9.0,180,-0.647215835775,52.8180656192,13.7184381827,5.0400643396,0.237431216985
10,-180.0,-8.0,180,-0.576947318326,52.6681756867,12.8531349156,4.68125982021,0.238805922353
10,-180.0,-7.0,180,-0.50610869332,52.5355631871,12.0859910759,4.33874515087,0.24018062772
10,-180.0,-6.0,180,-0.434764901014,52.4203598222,11.41835031,4.01723186451,0.241555333087
